Have you ever symphony'd before?,1
How'd that go?,2
What are Saturdays for?,3
How old are they?,4
Which Beethoven are you most familiar with?,5
Which of these doesn't belong at the symphony?,6
"If you had to pick a movie to watch tonight, what would it be?:",7
"Are you seeking light entertainment, or do you want to feel something?",8
What do you want to know more about?,10
Which show are you seeing?,11
Where are the best seats in the house?,12
What's your favourite musical insult?,13
